,Age,Fare,PassengerId,Pclass,Survived,Name_title,Sex_label,Fare_Group,Embarked_label,Family,TicketLettGroup,Cabin_IsNull,Cabin_group,Age_IsNull,Age_group
0,22,7.25,1,3,0.0,1,1,0,2,1,1,1,0,0,1
1,38,71.2833,2,1,1.0,2,0,1,0,1,2,0,2,0,2
2,26,7.925,3,3,1.0,3,0,0,2,0,1,1,0,0,1
3,35,53.1,4,1,1.0,2,0,1,2,1,2,0,2,0,2
4,35,8.05,5,3,0.0,1,1,0,2,0,1,1,0,0,2
5,28,8.4583,6,3,0.0,1,1,0,1,0,1,1,0,1,1
6,54,51.8625,7,1,0.0,1,1,1,2,0,2,0,6,0,3
7,2,21.075,8,3,0.0,5,1,1,2,2,2,1,0,0,0
8,27,11.1333,9,3,1.0,2,0,0,2,1,2,1,0,0,1
9,14,30.0708,10,2,1.0,2,0,1,0,1,2,1,0,0,0
10,4,16.7,11,3,1.0,3,0,0,2,1,2,0,9,0,0
11,58,26.55,12,1,1.0,3,0,1,2,0,1,0,1,0,3
12,20,8.05,13,3,0.0,1,1,0,2,0,1,1,0,0,1
13,39,31.275,14,3,0.0,1,1,1,2,2,3,1,0,0,2
14,14,7.8542,15,3,0.0,3,0,0,2,0,1,1,0,0,0
15,55,16.0,16,2,1.0,2,0,0,2,0,1,1,0,0,3
16,2,29.125,17,3,0.0,5,1,1,1,2,3,1,0,0,0
17,32,13.0,18,2,1.0,1,1,0,2,0,1,1,0,1,1
18,31,18.0,19,3,0.0,2,0,1,2,1,2,1,0,0,1
19,32,7.225,20,3,1.0,2,0,0,0,0,1,1,0,1,1
20,35,26.0,21,2,0.0,1,1,1,2,0,2,1,0,0,2
21,34,13.0,22,2,1.0,1,1,0,2,0,1,0,2,0,2
22,15,8.0292,23,3,1.0,3,0,0,1,0,1,1,0,0,0
23,28,35.5,24,1,1.0,1,1,1,2,0,1,0,9,0,1
24,8,21.075,25,3,0.0,3,0,1,2,2,2,1,0,0,0
25,38,31.3875,26,3,1.0,2,0,1,2,2,3,1,0,0,2
26,28,7.225,27,3,0.0,1,1,0,0,0,1,1,0,1,1
27,19,263.0,28,1,0.0,1,1,1,2,2,3,0,6,0,1
28,17,7.8792,29,3,1.0,3,0,0,1,0,1,1,0,1,0
29,28,7.8958,30,3,0.0,1,1,0,2,0,1,1,0,1,1
30,40,27.7208,31,1,0.0,5,1,1,0,0,1,1,0,0,2
31,42,146.5208,32,1,1.0,2,0,1,0,1,2,0,6,1,2
32,17,7.75,33,3,1.0,3,0,0,1,0,1,1,0,1,0
33,66,10.5,34,2,0.0,1,1,0,2,0,1,1,0,0,4
34,28,82.1708,35,1,0.0,1,1,1,0,1,2,1,0,0,1
35,42,52.0,36,1,0.0,1,1,1,2,1,2,1,0,0,2
36,28,7.2292,37,3,1.0,1,1,0,0,0,1,1,0,1,1
37,21,8.05,38,3,0.0,1,1,0,2,0,1,1,0,0,1
38,18,18.0,39,3,0.0,3,0,1,2,1,2,1,0,0,1
39,14,11.2417,40,3,1.0,3,0,0,0,1,2,1,0,0,0
40,40,9.475,41,3,0.0,2,0,0,2,1,1,1,0,0,2
41,27,21.0,42,2,0.0,2,0,1,2,1,2,1,0,0,1
42,28,7.8958,43,3,0.0,1,1,0,0,0,1,1,0,1,1
43,3,41.5792,44,2,1.0,3,0,1,0,1,2,1,0,0,0
44,19,7.8792,45,3,1.0,3,0,0,1,0,1,1,0,0,1
45,28,8.05,46,3,0.0,1,1,0,2,0,1,1,0,1,1
46,28,15.5,47,3,0.0,1,1,0,1,1,2,1,0,1,1
47,17,7.75,48,3,1.0,3,0,0,1,0,1,1,0,1,0
