,PassengerId,Survived,Pclass,Age,Fare,Name_title,Sex_label,Fare_Group,Embarked_label,Family,TicketLettGroup,Cabin_IsNull,Cabin_group,Age_IsNull,Age_group
0,1,0,3,22,7.25,1,1,0,2,1,1,1,0,0,1
1,2,1,1,38,71.2833,2,0,1,0,1,2,0,1,0,2
2,3,1,3,26,7.925,3,0,0,2,0,1,1,0,0,1
3,4,1,1,35,53.1,2,0,1,2,1,2,0,2,0,2
4,5,0,3,35,8.05,1,1,0,2,0,1,1,0,0,2
5,6,0,3,28,8.4583,1,1,0,1,0,1,1,0,1,1
6,7,0,1,54,51.8625,1,1,1,2,0,2,0,3,0,3
7,8,0,3,2,21.075,5,1,1,2,2,2,1,0,0,0
8,9,1,3,27,11.1333,2,0,0,2,1,2,1,0,0,1
9,10,1,2,14,30.0708,2,0,1,0,1,2,1,0,0,0
10,11,1,3,4,16.7,3,0,0,2,1,2,0,6,0,0
11,12,1,1,58,26.55,3,0,1,2,0,1,0,1,0,3
12,13,0,3,20,8.05,1,1,0,2,0,1,1,0,0,1
13,14,0,3,39,31.275,1,1,1,2,2,3,1,0,0,2
14,15,0,3,14,7.8542,3,0,0,2,0,1,1,0,0,0
15,16,1,2,55,16.0,2,0,0,2,0,1,1,0,0,3
16,17,0,3,2,29.125,5,1,1,1,2,3,1,0,0,0
17,18,1,2,32,13.0,1,1,0,2,0,1,1,0,1,1
18,19,0,3,31,18.0,2,0,1,2,1,2,1,0,0,1
19,20,1,3,32,7.225,2,0,0,0,0,1,1,0,1,1
20,21,0,2,35,26.0,1,1,1,2,0,2,1,0,0,2
21,22,1,2,34,13.0,1,1,0,2,0,1,0,1,0,2
22,23,1,3,15,8.0292,3,0,0,1,0,1,1,0,0,0
23,24,1,1,28,35.5,1,1,1,2,0,1,0,6,0,1
24,25,0,3,8,21.075,3,0,1,2,2,2,1,0,0,0
25,26,1,3,38,31.3875,2,0,1,2,2,3,1,0,0,2
26,27,0,3,28,7.225,1,1,0,0,0,1,1,0,1,1
27,28,0,1,19,263.0,1,1,1,2,2,3,0,4,0,1
28,29,1,3,17,7.8792,3,0,0,1,0,1,1,0,1,0
29,30,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
30,31,0,1,40,27.7208,5,1,1,0,0,1,1,0,0,2
31,32,1,1,42,146.5208,2,0,1,0,1,2,0,3,1,2
32,33,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
33,34,0,2,66,10.5,1,1,0,2,0,1,1,0,0,4
34,35,0,1,28,82.1708,1,1,1,0,1,2,1,0,0,1
35,36,0,1,42,52.0,1,1,1,2,1,2,1,0,0,2
36,37,1,3,28,7.2292,1,1,0,0,0,1,1,0,1,1
37,38,0,3,21,8.05,1,1,0,2,0,1,1,0,0,1
38,39,0,3,18,18.0,3,0,1,2,1,2,1,0,0,1
39,40,1,3,14,11.2417,3,0,0,0,1,2,1,0,0,0
40,41,0,3,40,9.475,2,0,0,2,1,1,1,0,0,2
41,42,0,2,27,21.0,2,0,1,2,1,2,1,0,0,1
42,43,0,3,28,7.8958,1,1,0,0,0,1,1,0,1,1
43,44,1,2,3,41.5792,3,0,1,0,1,2,1,0,0,0
44,45,1,3,19,7.8792,3,0,0,1,0,1,1,0,0,1
45,46,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
46,47,0,3,28,15.5,1,1,0,1,1,2,1,0,1,1
47,48,1,3,17,7.75,3,0,0,1,0,1,1,0,1,0
48,49,0,3,28,21.6792,1,1,1,0,1,2,1,0,1,1
49,50,0,3,18,17.8,2,0,1,2,1,2,1,0,0,1
50,51,0,3,7,39.6875,5,1,1,2,2,3,1,0,0,0
51,52,0,3,21,7.8,1,1,0,2,0,1,1,0,0,1
52,53,1,1,49,76.7292,2,0,1,0,1,2,0,7,0,3
53,54,1,2,29,26.0,2,0,1,2,1,2,1,0,0,1
54,55,0,1,65,61.9792,1,1,1,0,1,2,0,3,0,4
55,56,1,1,41,35.5,1,1,1,2,0,1,0,2,1,2
56,57,1,2,21,10.5,3,0,0,2,0,1,1,0,0,1
57,58,0,3,28,7.2292,1,1,0,0,0,1,1,0,0,1
58,59,1,2,5,27.75,3,0,1,2,1,2,1,0,0,0
59,60,0,3,11,46.9,5,1,1,2,2,3,1,0,0,0
60,61,0,3,22,7.2292,1,1,0,0,0,1,1,0,0,1
61,62,1,1,38,80.0,3,0,1,2,0,2,0,3,0,2
62,63,0,1,45,83.475,1,1,1,2,1,2,0,2,0,3
63,64,0,3,4,27.9,5,1,1,2,2,3,1,0,0,0
64,65,0,1,41,27.7208,1,1,1,0,0,1,1,0,1,2
65,66,1,3,6,15.2458,5,1,0,0,1,2,1,0,1,0
66,67,1,2,29,10.5,2,0,0,2,0,1,0,7,0,1
67,68,0,3,19,8.1583,1,1,0,2,0,1,1,0,0,1
68,69,1,3,17,7.925,3,0,0,2,2,1,1,0,0,0
69,70,0,3,26,8.6625,1,1,0,2,1,1,1,0,0,1
70,71,0,2,32,10.5,1,1,0,2,0,1,1,0,0,1
71,72,0,3,16,46.9,3,0,1,2,2,3,1,0,0,0
72,73,0,2,21,73.5,1,1,1,2,0,3,1,0,0,1
73,74,0,3,26,14.4542,1,1,0,0,1,2,1,0,0,1
74,75,1,3,32,56.4958,1,1,1,2,0,3,1,0,0,1
75,76,0,3,25,7.65,1,1,0,2,0,1,0,3,0,1
76,77,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
77,78,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
78,79,1,2,0,29.0,5,1,1,2,1,2,1,0,0,0
79,80,1,3,30,12.475,3,0,0,2,0,2,1,0,0,1
80,81,0,3,22,9.0,1,1,0,2,0,1,1,0,0,1
81,82,1,3,29,9.5,1,1,0,2,0,1,1,0,0,1
82,83,1,3,17,7.7875,3,0,0,1,0,1,1,0,1,0
83,84,0,1,28,47.1,1,1,1,2,0,2,1,0,0,1
84,85,1,2,17,10.5,3,0,0,2,0,1,1,0,0,0
85,86,1,3,33,15.85,2,0,0,2,1,2,1,0,0,1
86,87,0,3,16,34.375,1,1,1,2,2,2,1,0,0,0
87,88,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
88,89,1,1,23,263.0,3,0,1,2,2,3,0,4,0,1
89,90,0,3,24,8.05,1,1,0,2,0,1,1,0,0,1
90,91,0,3,29,8.05,1,1,0,2,0,1,1,0,0,1
91,92,0,3,20,7.8542,1,1,0,2,0,1,1,0,0,1
92,93,0,1,46,61.175,1,1,1,2,1,2,0,2,0,3
93,94,0,3,26,20.575,1,1,1,2,1,2,1,0,0,1
94,95,0,3,59,7.25,1,1,0,2,0,1,1,0,0,4
95,96,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
96,97,0,1,71,34.6542,1,1,1,0,0,1,0,3,0,4
97,98,1,1,23,63.3583,1,1,1,0,1,2,0,2,0,1
98,99,1,2,34,23.0,2,0,1,2,1,2,1,0,0,2
99,100,0,2,34,26.0,1,1,1,2,1,2,1,0,0,2
100,101,0,3,28,7.8958,3,0,0,2,0,1,1,0,0,1
101,102,0,3,28,7.8958,1,1,0,2,0,1,1,0,1,1
102,103,0,1,21,77.2875,1,1,1,2,1,2,0,6,0,1
103,104,0,3,33,8.6542,1,1,0,2,0,1,1,0,0,1
104,105,0,3,37,7.925,1,1,0,2,1,1,1,0,0,2
105,106,0,3,28,7.8958,1,1,0,2,0,1,1,0,0,1
106,107,1,3,21,7.65,3,0,0,2,0,1,1,0,0,1
107,108,1,3,28,7.775,1,1,0,2,0,1,1,0,1,1
108,109,0,3,38,7.8958,1,1,0,2,0,1,1,0,0,2
109,110,1,3,17,24.15,3,0,1,1,1,2,1,0,1,0
110,111,0,1,47,52.0,1,1,1,2,0,2,0,1,0,3
111,112,0,3,14,14.4542,3,0,0,0,1,2,1,0,0,0
112,113,0,3,22,8.05,1,1,0,2,0,1,1,0,0,1
113,114,0,3,20,9.825,3,0,0,2,1,1,1,0,0,1
114,115,0,3,17,14.4583,3,0,0,0,0,2,1,0,0,0
115,116,0,3,21,7.925,1,1,0,2,0,1,1,0,0,1
116,117,0,3,70,7.75,1,1,0,1,0,1,1,0,0,4
117,118,0,2,29,21.0,1,1,1,2,1,2,1,0,0,1
118,119,0,1,24,247.5208,1,1,1,0,1,2,0,2,0,1
119,120,0,3,2,31.275,3,0,1,2,2,3,1,0,0,0
120,121,0,2,21,73.5,1,1,1,2,1,3,1,0,0,1
121,122,0,3,28,8.05,1,1,0,2,0,1,1,0,1,1
122,123,0,2,32,30.0708,1,1,1,0,1,2,1,0,0,1
123,124,1,2,32,13.0,3,0,0,2,0,1,0,5,0,1
124,125,0,1,54,77.2875,1,1,1,2,1,2,0,6,0,3
125,126,1,3,12,11.2417,5,1,0,0,1,2,1,0,0,0
126,127,0,3,28,7.75,1,1,0,1,0,1,1,0,1,1
127,128,1,3,24,7.1417,1,1,0,2,0,1,1,0,0,1
128,129,1,3,17,22.3583,3,0,1,0,1,2,0,2,1,0
129,130,0,3,45,6.975,1,1,0,2,0,1,1,0,0,3
130,131,0,3,33,7.8958,1,1,0,0,0,1,1,0,0,1
131,132,0,3,20,7.05,1,1,0,2,0,1,1,0,0,1
132,133,0,3,47,14.5,2,0,0,2,1,2,1,0,0,3
133,134,1,2,29,26.0,2,0,1,2,1,2,1,0,0,1
134,135,0,2,25,13.0,1,1,0,2,0,1,1,0,0,1
135,136,0,2,23,15.0458,1,1,0,0,0,1,1,0,0,1
136,137,1,1,19,26.2833,3,0,1,2,1,1,0,2,0,1
137,138,0,1,37,53.1,1,1,1,2,1,2,0,2,0,2
138,139,0,3,16,9.2167,1,1,0,2,0,2,1,0,0,0
139,140,0,1,24,79.2,1,1,1,0,0,2,0,2,0,1
140,141,0,3,32,15.2458,2,0,0,0,1,2,1,0,1,1
141,142,1,3,22,7.75,3,0,0,2,0,1,1,0,0,1
142,143,1,3,24,15.85,2,0,0,2,1,2,1,0,0,1
143,144,0,3,19,6.75,1,1,0,1,0,1,1,0,0,1
144,145,0,2,18,11.5,1,1,0,2,0,1,1,0,0,1
145,146,0,2,19,36.75,1,1,1,2,1,2,1,0,0,1
146,147,1,3,27,7.7958,1,1,0,2,0,1,1,0,0,1
147,148,0,3,9,34.375,3,0,1,2,2,2,1,0,0,0
148,149,0,2,36,26.0,1,1,1,2,1,2,0,5,0,2
149,150,0,2,42,13.0,4,1,0,2,0,1,1,0,0,2
150,151,0,2,51,12.525,4,1,0,2,0,1,1,0,0,3
